Actif;Date;High;Low;Open;Close;Volume
^FTSE;19/06/2012;5603.1;5491;5491.1;5586.3;816800600
^FTSE;18/06/2012;5555.3;5461.1;5478.8;5491.1;879532400
^FTSE;15/06/2012;5522.9;5465.1;5467;5478.8;2310999200
^FTSE;14/06/2012;5483.8;5424.4;5483.8;5467;985630600
^FTSE;13/06/2012;5507.6;5436.7;5473.7;5483.8;862162600
^FTSE;12/06/2012;5478.6;5414.6;5432.4;5473.7;922349000
^FTSE;11/06/2012;5536.3;5419.6;5435.1;5432.4;991562200
^FTSE;08/06/2012;5447.8;5381.8;5447.8;5435.1;916902400
^FTSE;07/06/2012;5494.5;5384.1;5384.1;5447.8;1075725100
^FTSE;06/06/2012;5388;5260.2;5260.2;5384.1;1100447600
^FTSE;01/06/2012;5354.5;5229.8;5320.9;5260.2;1056087700
^FTSE;31/05/2012;5352;5272.7;5297.3;5320.9;1416308300
^FTSE;30/05/2012;5391.1;5284.4;5391.1;5297.3;863652400
^FTSE;29/05/2012;5404.7;5342.5;5356.3;5391.1;729588000
^FTSE;28/05/2012;5413.8;5341.3;5351.5;5356.3;510686600
^FTSE;25/05/2012;5385.2;5312.2;5350;5351.5;734402000
^FTSE;24/05/2012;5371.8;5266.4;5266.4;5350;737322400
^FTSE;23/05/2012;5403.7;5262.9;5403.3;5266.4;998286000
^FTSE;22/05/2012;5408.6;5304.5;5304.5;5403.3;932305600
^FTSE;21/05/2012;5324.4;5253.9;5267.6;5304.5;915124000
^FTSE;18/05/2012;5338.4;5256.6;5338.4;5267.6;1225450700
^FTSE;17/05/2012;5413.3;5309.8;5405.3;5338.4;899521400
^FTSE;16/05/2012;5448.4;5354;5437.6;5405.3;1026459400
^FTSE;15/05/2012;5507.6;5411.8;5465.5;5437.6;876368200
^FTSE;14/05/2012;5575.6;5436.7;5575.5;5465.5;884474600
^FTSE;11/05/2012;5585.5;5499.3;5544;5575.5;772657000
^FTSE;10/05/2012;5566.1;5490.5;5530;5544;847647600
^FTSE;09/05/2012;5571.7;5464.4;5554.5;5530;1006217900
^FTSE;08/05/2012;5668.1;5550.1;5655.1;5554.5;1053451900
^FTSE;04/05/2012;5766.5;5639.8;5766.5;5655.1;1013188000
^FTSE;03/05/2012;5800.8;5745.2;5758.1;5766.5;788889000
^FTSE;02/05/2012;5819.9;5736.7;5812.2;5758.1;962324800
^FTSE;01/05/2012;5819;5732.2;5737.8;5812.2;675997000
^FTSE;30/04/2012;5793;5728.9;5777.1;5737.8;784967000
^FTSE;27/04/2012;5789;5708;5748.7;5777.1;812249600
^FTSE;26/04/2012;5761.1;5691.7;5718.9;5748.7;879956000
^FTSE;25/04/2012;5745;5703.2;5709.5;5718.9;859133200
^FTSE;24/04/2012;5714.2;5658.5;5665.6;5709.5;809912400
^FTSE;23/04/2012;5772.1;5637.7;5772.1;5665.6;777185400
^FTSE;20/04/2012;5775.7;5724.2;5744.5;5772.1;847833800
^FTSE;19/04/2012;5792.1;5738.1;5745.3;5744.5;960873200
^FTSE;18/04/2012;5783.9;5730.9;5767;5745.3;875744800
^FTSE;17/04/2012;5773.7;5651.5;5666.3;5767;856433000
^FTSE;16/04/2012;5708;5641.1;5651.8;5666.3;1102065700
^FTSE;13/04/2012;5710.8;5643.5;5710.5;5651.8;830223000
^FTSE;12/04/2012;5727.9;5602.6;5634.7;5710.5;1115209900
^FTSE;11/04/2012;5655.9;5576.4;5595.5;5634.7;1132327600
^FTSE;10/04/2012;5723.7;5595.5;5723.7;5595.5;1012487000
^FTSE;05/04/2012;5731.7;5663.3;5703.8;5723.7;908902000
^FTSE;04/04/2012;5838.3;5685.6;5838.3;5703.8;1174203000
